age,income,loan_amount,loan_term,credit_score,employment_type,marital_status,property_area,existing_loans,loan_purpose,fraud
59,55411,1321897,60,769,Self-employed,Married,Urban,5,Education,0
25,78244,893166,120,517,Salaried,Single,Semiurban,4,Vehicle,0
32,142746,1389220,180,469,Business,Single,Urban,5,Business,0
21,131114,1194806,120,639,Business,Married,Urban,3,Vehicle,0
57,43615,992315,60,580,Salaried,Single,Rural,0,Education,0
37,67550,111470,240,830,Business,Single,Semiurban,3,Business,0
41,125176,859734,36,529,Salaried,Married,Urban,4,Vehicle,0
46,71397,966602,180,735,Salaried,Married,Semiurban,3,Education,0
57,108270,934938,240,520,Business,Single,Semiurban,3,Business,1
53,123004,809755,180,764,Self-employed,Single,Urban,5,Home,0
30,141645,1358805,120,495,Salaried,Single,Urban,4,Home,0
46,178947,1476099,180,596,Self-employed,Single,Rural,1,Vehicle,0
33,153830,699799,60,467,Business,Single,Semiurban,5,Home,1
21,59273,282122,84,849,Salaried,Married,Urban,1,Personal,1
25,41636,1252579,84,821,Business,Married,Urban,2,Business,0
33,137212,947158,180,452,Salaried,Married,Semiurban,4,Home,0
28,152555,640422,180,744,Salaried,Married,Rural,4,Vehicle,0
42,138284,1066200,180,464,Salaried,Married,Urban,5,Business,0
41,126114,840496,180,724,Salaried,Married,Urban,0,Vehicle,0
42,37930,1262978,60,693,Salaried,Single,Rural,2,Business,0
33,148809,518731,60,826,Salaried,Married,Urban,1,Business,0
43,58893,323743,36,490,Self-employed,Married,Semiurban,4,Home,0
41,147064,1304854,84,701,Salaried,Married,Urban,4,Business,0
48,143388,1234072,36,707,Salaried,Single,Urban,0,Personal,0
21,21098,541979,120,747,Salaried,Married,Semiurban,2,Business,0
51,178716,819525,84,544,Salaried,Single,Urban,2,Education,0
38,136155,477255,180,517,Unemployed,Single,Rural,5,Education,1
56,131303,898770,60,524,Business,Single,Urban,0,Business,0
29,153530,1219842,240,611,Business,Married,Urban,4,Home,1
31,33738,551867,84,693,Business,Single,Urban,2,Education,1
56,164143,640467,84,460,Salaried,Married,Rural,4,Business,0
55,63754,696867,84,616,Self-employed,Married,Semiurban,3,Home,1
39,139569,1424796,60,535,Self-employed,Married,Urban,4,Personal,1
25,38738,439737,84,566,Salaried,Married,Semiurban,4,Vehicle,1
49,113201,1330859,180,680,Salaried,Single,Rural,1,Business,0
26,73200,450036,120,502,Salaried,Married,Semiurban,0,Vehicle,0
26,45244,650402,180,529,Salaried,Married,Urban,1,Education,0
29,52413,1204658,60,464,Salaried,Married,Rural,2,Vehicle,0
38,161797,1032907,60,807,Salaried,Married,Semiurban,5,Personal,0
55,99175,828064,120,726,Salaried,Single,Urban,2,Vehicle,0
40,20767,100193,180,838,Business,Married,Urban,4,Home,0
51,96541,119152,120,599,Self-employed,Single,Semiurban,1,Vehicle,0
48,121481,624070,60,816,Self-employed,Married,Rural,1,Education,0
36,153426,1386007,240,800,Salaried,Married,Urban,0,Business,0
28,137365,1395472,120,589,Self-employed,Married,Urban,0,Business,0
55,23801,489939,36,594,Salaried,Married,Semiurban,1,Home,1
52,74934,817043,120,609,Business,Married,Rural,3,Home,1
30,32690,658898,120,486,Salaried,Single,Urban,2,Vehicle,1
28,83263,906979,120,576,Self-employed,Single,Urban,5,Home,0
51,120006,754540,84,531,Self-employed,Single,Semiurban,4,Personal,1
51,96332,516753,84,476,Business,Single,Rural,1,Vehicle,0
31,90377,1326198,36,652,Business,Single,Rural,4,Vehicle,0
30,115359,287652,60,530,Salaried,Married,Rural,5,Home,1
30,158601,325216,60,699,Salaried,Married,Rural,3,Business,1
45,111891,382553,84,470,Salaried,Married,Semiurban,4,Vehicle,1
32,160506,829105,84,824,Salaried,Single,Urban,1,Vehicle,0
37,159978,869891,120,450,Business,Married,Semiurban,0,Personal,0
60,80596,772544,240,482,Self-employed,Married,Urban,5,Vehicle,0
39,102567,959422,240,614,Salaried,Single,Urban,1,Business,0
33,46063,1117895,60,500,Salaried,Married,Semiurban,4,Personal,1
37,30867,868300,60,760,Self-employed,Single,Rural,1,Vehicle,0
50,33912,856916,180,830,Unemployed,Married,Rural,5,Home,1
38,156679,185255,240,486,Business,Single,Rural,4,Home,1
35,157371,908097,60,548,Salaried,Single,Semiurban,1,Personal,0
47,45659,1439292,180,633,Self-employed,Married,Rural,1,Business,0
53,106476,1478944,60,723,Unemployed,Married,Rural,2,Personal,0
41,115444,964746,240,670,Business,Married,Semiurban,4,Personal,0
56,84607,854992,120,679,Unemployed,Single,Semiurban,2,Personal,1
29,97125,113775,84,563,Salaried,Married,Urban,5,Education,0
57,167844,424460,36,469,Salaried,Single,Urban,2,Personal,0
37,96722,292739,180,654,Self-employed,Single,Semiurban,5,Education,0
32,145998,1308447,36,754,Self-employed,Single,Semiurban,4,Vehicle,0
24,105658,829662,120,663,Unemployed,Single,Rural,1,Personal,0
45,32189,739177,180,471,Salaried,Single,Urban,5,Business,1
46,134815,1348082,180,708,Salaried,Married,Urban,3,Business,0
26,142742,1298397,240,475,Salaried,Married,Urban,4,Vehicle,0
29,144070,1272929,60,699,Salaried,Single,Semiurban,5,Personal,0
25,87797,1001913,84,800,Unemployed,Single,Urban,3,Vehicle,1
33,102079,822521,180,785,Salaried,Married,Urban,2,Personal,0
49,56225,1023718,36,569,Salaried,Married,Urban,5,Home,1
24,81713,1402336,60,597,Salaried,Single,Urban,3,Home,1
55,73541,527402,180,717,Business,Married,Semiurban,1,Home,0
54,29398,635730,60,480,Salaried,Married,Urban,5,Home,1
38,112429,326264,36,599,Business,Married,Urban,3,Personal,0
41,145051,1352222,180,495,Salaried,Married,Semiurban,5,Home,1
54,97934,799546,120,651,Self-employed,Single,Urban,2,Education,0
36,149400,678558,36,770,Salaried,Married,Rural,0,Personal,0
35,57769,816777,120,786,Salaried,Married,Semiurban,5,Personal,0
35,127401,604073,180,528,Salaried,Married,Rural,2,Vehicle,0
34,54327,1318509,180,800,Business,Single,Urban,5,Personal,0
30,166070,431450,84,484,Self-employed,Single,Urban,1,Home,0
47,125807,736167,120,831,Unemployed,Married,Urban,1,Home,0
22,178427,1393830,84,760,Self-employed,Single,Semiurban,1,Home,0
51,53150,1153451,180,690,Self-employed,Married,Urban,3,Vehicle,0
35,26448,956873,36,588,Unemployed,Single,Semiurban,1,Business,1
49,179758,1127484,240,616,Business,Single,Urban,0,Personal,0
45,100024,926593,180,830,Self-employed,Single,Semiurban,3,Vehicle,0
23,82414,1187798,180,652,Unemployed,Single,Semiurban,4,Home,1
49,122343,738696,84,686,Salaried,Married,Semiurban,0,Personal,0
50,136409,289668,240,706,Salaried,Single,Urban,2,Vehicle,1
50,172747,523482,120,496,Salaried,Single,Semiurban,0,Home,0
49,113143,278900,180,812,Salaried,Single,Urban,3,Home,0
42,166240,1483135,60,533,Business,Single,Semiurban,0,Vehicle,0
49,93702,1413766,60,510,Business,Single,Urban,2,Home,0
55,19507,1375034,120,571,Salaried,Married,Urban,3,Home,1
21,82150,1247858,84,767,Self-employed,Single,Urban,1,Home,0
23,56109,168015,240,745,Business,Married,Urban,0,Home,0
32,60293,696389,180,788,Self-employed,Single,Rural,5,Personal,0
23,42412,727666,84,638,Business,Single,Semiurban,4,Home,1
29,49987,675497,84,719,Salaried,Single,Semiurban,4,Home,0
54,40982,1114314,240,802,Self-employed,Married,Urban,2,Education,0
60,110760,372028,180,738,Salaried,Married,Urban,1,Personal,0
39,68739,103315,36,462,Salaried,Single,Semiurban,1,Personal,0
47,29925,800013,84,736,Business,Single,Urban,1,Education,1
25,98680,729741,180,731,Salaried,Single,Urban,2,Education,0
57,179478,161063,60,549,Salaried,Married,Rural,3,Vehicle,0
51,58733,1415334,120,724,Business,Married,Semiurban,3,Home,0
41,163536,1223833,36,556,Self-employed,Married,Semiurban,2,Home,0
38,26171,811254,120,770,Salaried,Single,Semiurban,3,Business,1
40,100444,166329,84,661,Salaried,Single,Urban,2,Business,0
32,47420,884787,36,848,Salaried,Single,Urban,0,Vehicle,0
30,67862,813274,120,825,Business,Married,Semiurban,1,Home,0
54,52791,530308,240,468,Salaried,Single,Urban,0,Personal,0
42,140388,196762,36,716,Business,Married,Urban,2,Business,0
33,93121,680176,180,613,Business,Single,Urban,1,Education,0
60,164702,1178063,36,555,Salaried,Married,Urban,5,Education,0
40,178763,810386,180,677,Salaried,Single,Urban,5,Home,0
24,40575,994363,120,541,Self-employed,Married,Semiurban,2,Education,0
55,38590,1076633,180,517,Salaried,Married,Urban,2,Vehicle,0
30,179727,641175,84,650,Salaried,Married,Semiurban,2,Vehicle,0
25,142606,336741,84,695,Salaried,Single,Urban,2,Personal,0
53,44983,950785,240,504,Salaried,Single,Semiurban,4,Vehicle,1
47,80541,1402068,60,730,Salaried,Married,Urban,2,Business,0
58,131022,1013002,180,625,Salaried,Single,Urban,5,Home,0
57,145567,339752,180,755,Salaried,Single,Rural,1,Education,0
25,174830,328054,240,755,Business,Married,Urban,5,Home,0
29,170244,1434067,36,837,Salaried,Single,Urban,2,Vehicle,0
49,69292,531303,240,612,Salaried,Married,Rural,3,Education,0
60,151804,947663,60,600,Salaried,Single,Urban,4,Education,1
39,26174,593336,120,809,Self-employed,Married,Semiurban,3,Vehicle,1
34,63458,1095877,60,546,Self-employed,Married,Rural,1,Education,0
29,21041,250462,240,458,Salaried,Married,Semiurban,1,Home,1
47,137545,1367580,120,769,Salaried,Married,Semiurban,3,Vehicle,0
32,129351,1367882,36,745,Salaried,Single,Semiurban,2,Vehicle,0
57,114198,170174,36,740,Salaried,Married,Urban,3,Home,0
54,91248,1075042,180,490,Salaried,Single,Urban,5,Home,0
58,99919,1385636,36,625,Salaried,Single,Urban,4,Vehicle,0
42,128366,840115,84,598,Salaried,Married,Semiurban,4,Education,1
51,169556,454584,180,476,Self-employed,Married,Rural,4,Home,1
26,51245,1160311,36,592,Salaried,Married,Urban,2,Home,0
58,57619,1482349,120,639,Business,Married,Semiurban,1,Vehicle,0
54,26674,819004,36,524,Self-employed,Single,Rural,3,Vehicle,1
49,61852,542198,180,825,Business,Single,Semiurban,0,Home,0
46,142841,732012,120,832,Unemployed,Single,Urban,5,Vehicle,0
48,21109,705641,120,645,Self-employed,Single,Urban,4,Education,1
38,105809,666914,84,500,Salaried,Married,Urban,5,Business,0
33,154302,807592,240,803,Unemployed,Married,Semiurban,5,Home,1
27,155694,317909,240,678,Salaried,Married,Urban,0,Home,0
24,173749,1477001,60,756,Self-employed,Single,Urban,4,Business,0
57,66435,332458,240,544,Salaried,Married,Semiurban,0,Vehicle,0
38,129931,778227,84,532,Business,Married,Semiurban,3,Vehicle,1
24,85695,655042,60,675,Salaried,Single,Semiurban,1,Vehicle,0
55,131050,557989,180,779,Salaried,Married,Semiurban,0,Home,0
57,83692,1035082,36,704,Salaried,Single,Rural,5,Vehicle,0
42,120584,1305107,36,713,Self-employed,Married,Urban,3,Home,0
21,118774,1110966,36,740,Salaried,Married,Urban,2,Vehicle,0
26,113775,1221192,84,491,Business,Married,Semiurban,1,Personal,0
45,68070,726776,240,649,Business,Married,Urban,5,Vehicle,0
29,27358,504944,36,818,Unemployed,Single,Urban,0,Personal,1
52,157969,1042265,36,468,Salaried,Married,Semiurban,0,Vehicle,0
54,138159,1225250,60,829,Self-employed,Single,Urban,1,Vehicle,0
51,30006,608942,240,782,Salaried,Single,Semiurban,2,Home,0
58,34766,322992,36,704,Self-employed,Single,Urban,1,Vehicle,0
46,102996,353341,240,744,Salaried,Married,Rural,1,Home,0
42,34573,353221,84,522,Business,Single,Semiurban,4,Business,1
58,28668,379699,36,773,Self-employed,Single,Urban,3,Home,1
32,41367,1466830,180,595,Salaried,Married,Semiurban,1,Business,0
47,80718,466055,180,804,Salaried,Single,Semiurban,4,Home,0
40,109187,978257,36,735,Salaried,Single,Rural,0,Personal,0
55,151048,559855,120,844,Self-employed,Single,Urban,1,Home,0
51,148420,469777,60,793,Unemployed,Single,Semiurban,2,Business,0
42,179695,1050319,36,503,Self-employed,Single,Urban,0,Vehicle,0
25,79682,1032857,180,746,Salaried,Single,Semiurban,2,Business,0
41,77711,305655,60,827,Salaried,Single,Urban,1,Home,0
52,32244,1014075,60,560,Unemployed,Married,Urban,2,Business,1
33,112002,665590,60,621,Salaried,Single,Urban,0,Vehicle,0
31,108066,561066,84,759,Salaried,Single,Semiurban,4,Business,0
54,146244,553913,180,692,Business,Married,Urban,3,Business,0
48,169903,566420,180,526,Unemployed,Single,Urban,0,Home,0
53,26813,992752,180,651,Salaried,Single,Urban,1,Home,1
47,75149,378317,84,601,Salaried,Single,Urban,5,Education,1
50,167521,1324023,36,682,Salaried,Single,Rural,3,Business,0
44,139712,1428340,36,771,Salaried,Married,Semiurban,2,Vehicle,0
60,160196,1306343,60,800,Salaried,Married,Semiurban,0,Personal,0
44,31516,332713,120,637,Salaried,Single,Urban,1,Personal,0
56,71664,390258,84,572,Salaried,Married,Semiurban,4,Business,0
41,110461,660690,180,798,Salaried,Single,Urban,2,Vehicle,0
54,50167,1086005,240,722,Self-employed,Married,Urban,2,Home,0
50,40887,268129,120,541,Salaried,Single,Urban,2,Home,0
52,57452,528356,180,771,Salaried,Married,Rural,4,Business,0
47,134355,1452001,36,599,Salaried,Single,Rural,1,Personal,0
47,169703,818887,240,780,Business,Married,Semiurban,5,Personal,0
49,138063,737706,180,517,Business,Married,Urban,2,Business,0
39,30404,411088,84,595,Salaried,Single,Semiurban,1,Personal,1
32,58235,438175,60,509,Salaried,Married,Semiurban,3,Education,1
34,165452,172748,240,612,Unemployed,Single,Urban,4,Business,1
28,24533,948428,120,843,Salaried,Married,Rural,1,Home,0
53,104843,1457368,240,601,Salaried,Married,Rural,4,Business,0
49,106784,335542,240,695,Unemployed,Single,Semiurban,0,Education,1
60,75767,1035272,84,497,Salaried,Single,Semiurban,1,Education,0
26,159141,1034193,240,793,Unemployed,Married,Urban,2,Personal,0
24,112650,933739,60,816,Business,Married,Urban,0,Education,0
40,134805,1276571,36,560,Self-employed,Married,Semiurban,3,Vehicle,1
48,126578,392694,180,756,Salaried,Single,Urban,4,Education,0
58,116506,285489,36,659,Self-employed,Married,Urban,4,Vehicle,0
29,70234,490083,120,598,Self-employed,Single,Rural,2,Personal,0
56,139491,570853,36,451,Salaried,Married,Rural,5,Vehicle,1
39,127355,476170,120,802,Self-employed,Single,Urban,2,Vehicle,0
25,174995,858664,180,696,Self-employed,Married,Semiurban,3,Home,0
57,22599,644288,60,747,Salaried,Married,Urban,5,Business,1
24,89478,857414,120,775,Unemployed,Married,Urban,2,Personal,0
25,152707,506459,240,543,Business,Single,Semiurban,2,Education,0
44,43122,1220760,180,630,Business,Single,Urban,2,Education,0
47,107211,441896,36,561,Salaried,Single,Rural,4,Personal,0
55,162470,339005,120,685,Unemployed,Single,Rural,0,Vehicle,0
44,54441,1026810,180,717,Business,Married,Urban,2,Home,0
28,76289,369933,240,522,Self-employed,Married,Urban,1,Home,0
28,38377,139439,120,837,Salaried,Single,Urban,5,Personal,0
51,49174,630605,36,483,Salaried,Single,Semiurban,0,Personal,0
33,66439,837219,36,496,Salaried,Married,Rural,2,Education,0
53,178682,607138,180,741,Salaried,Single,Semiurban,5,Business,0
31,158804,109078,240,500,Unemployed,Married,Urban,4,Business,1
27,65408,844116,120,667,Salaried,Single,Urban,2,Home,0
54,53628,1139801,84,810,Salaried,Single,Urban,3,Home,1
50,175388,754325,240,677,Salaried,Married,Urban,3,Business,0
51,114322,476013,36,795,Salaried,Single,Urban,4,Home,0
46,123021,1338488,36,829,Unemployed,Single,Urban,1,Education,0
46,50181,588363,120,821,Salaried,Married,Semiurban,5,Vehicle,0
59,124022,1116139,180,592,Salaried,Married,Urban,2,Vehicle,0
29,25791,308883,240,477,Business,Married,Semiurban,1,Vehicle,0
40,43253,260468,240,834,Salaried,Married,Semiurban,1,Education,0
52,150328,648751,180,625,Business,Single,Rural,0,Vehicle,0
28,118566,1043960,84,642,Salaried,Single,Urban,4,Education,0
31,146838,1003203,60,609,Self-employed,Married,Semiurban,4,Vehicle,0
57,141160,1098057,180,530,Salaried,Married,Urban,4,Vehicle,0
39,102012,228815,36,752,Salaried,Married,Urban,5,Personal,1
42,117765,304157,120,626,Unemployed,Married,Urban,5,Business,1
40,173328,278135,240,483,Business,Single,Urban,0,Personal,0
50,128748,1291285,180,665,Salaried,Married,Semiurban,2,Vehicle,0
41,168087,304945,120,501,Self-employed,Single,Urban,4,Education,1
40,113245,1014339,60,704,Self-employed,Single,Rural,4,Business,0
24,95940,1302760,120,565,Self-employed,Single,Semiurban,4,Home,0
57,157215,1096710,120,557,Salaried,Single,Semiurban,2,Personal,0
48,159544,757148,60,662,Salaried,Married,Semiurban,4,Business,0
54,66900,1309728,120,559,Self-employed,Married,Urban,5,Personal,1
48,166404,1414407,36,717,Salaried,Married,Urban,1,Education,0
47,101533,235114,240,554,Business,Married,Rural,5,Business,1
59,79900,951162,60,508,Salaried,Single,Urban,2,Vehicle,0
48,128629,1456693,36,553,Salaried,Single,Urban,2,Personal,0
23,145360,141751,36,492,Salaried,Married,Rural,3,Education,0
46,54847,595014,36,742,Self-employed,Single,Semiurban,4,Personal,0
26,80410,1357916,36,845,Business,Married,Rural,5,Vehicle,0
48,75149,402572,36,539,Salaried,Married,Urban,2,Personal,0
55,116226,336897,84,729,Salaried,Single,Rural,1,Education,0
44,98785,144195,240,760,Salaried,Single,Semiurban,5,Business,0
45,99072,1439973,240,635,Unemployed,Single,Semiurban,1,Vehicle,0
46,84986,731008,36,837,Salaried,Single,Rural,1,Vehicle,0
47,26881,674696,36,849,Unemployed,Married,Semiurban,2,Vehicle,0
37,150732,239182,84,665,Self-employed,Married,Urban,0,Home,0
32,134235,1444481,60,451,Salaried,Married,Urban,0,Home,0
54,52103,1345742,240,660,Business,Married,Urban,5,Business,1
58,103873,690971,60,493,Salaried,Single,Urban,3,Personal,1
22,164415,1457081,180,770,Salaried,Single,Rural,1,Education,0
31,31050,941031,180,669,Self-employed,Single,Urban,2,Business,0
54,132074,1051494,240,703,Salaried,Single,Urban,2,Education,0
45,52130,1004519,60,757,Salaried,Married,Semiurban,1,Vehicle,0
30,25542,708578,84,570,Self-employed,Single,Urban,5,Vehicle,1
51,52918,777895,240,653,Self-employed,Married,Semiurban,5,Personal,0
27,164014,223212,36,620,Unemployed,Married,Rural,4,Personal,0
21,84494,1158101,180,645,Salaried,Married,Semiurban,1,Personal,0
32,86233,456235,180,702,Unemployed,Married,Urban,2,Personal,0
37,48629,756973,36,515,Salaried,Married,Semiurban,3,Education,1
37,153521,756430,120,534,Salaried,Married,Semiurban,1,Personal,0
49,31951,496193,60,477,Salaried,Single,Urban,1,Vehicle,1
52,28693,1025933,84,813,Self-employed,Married,Urban,5,Business,1
26,71407,695835,60,536,Self-employed,Married,Semiurban,5,Personal,1
21,155891,1297028,60,663,Unemployed,Single,Semiurban,5,Home,1
28,121329,883408,180,504,Business,Single,Urban,3,Vehicle,0
59,19521,790858,36,785,Self-employed,Married,Urban,5,Personal,1
24,92174,777738,36,830,Salaried,Married,Urban,2,Business,0
46,41380,143016,60,533,Salaried,Married,Urban,5,Business,1
52,131340,750329,240,758,Salaried,Single,Rural,4,Business,0
45,142895,663042,180,757,Salaried,Married,Rural,4,Business,0
48,42365,184804,180,624,Unemployed,Single,Semiurban,5,Business,0
54,40012,709648,120,673,Salaried,Married,Urban,1,Education,0
54,130127,719669,180,474,Self-employed,Single,Semiurban,4,Vehicle,1
50,167023,631377,84,580,Self-employed,Single,Urban,5,Vehicle,1
32,121011,194914,36,663,Business,Married,Urban,5,Vehicle,0
49,87487,815830,60,558,Salaried,Married,Rural,0,Vehicle,0
21,121529,344692,36,537,Self-employed,Married,Semiurban,5,Personal,0
60,112562,928369,84,494,Salaried,Single,Urban,0,Business,0
34,144121,1460261,60,782,Salaried,Single,Urban,3,Business,0
22,48528,448348,60,828,Self-employed,Married,Urban,3,Personal,0
39,167272,921524,36,620,Salaried,Married,Rural,3,Personal,0
56,94224,177630,120,654,Salaried,Married,Urban,0,Personal,1
57,100798,1260261,36,587,Business,Married,Rural,0,Vehicle,0
43,135525,1014840,36,532,Salaried,Single,Urban,3,Business,0
42,175836,1477741,120,517,Business,Married,Rural,5,Education,0
31,72318,692355,240,833,Salaried,Married,Urban,1,Business,0
27,127047,1135416,84,570,Salaried,Single,Rural,2,Education,0
31,63800,1155871,36,482,Salaried,Single,Semiurban,0,Personal,1
37,107213,844994,36,844,Business,Married,Rural,5,Personal,0
27,31217,1018189,120,836,Salaried,Single,Semiurban,4,Home,1
23,150987,321063,60,772,Salaried,Single,Rural,1,Education,0
53,148650,308235,60,781,Salaried,Single,Urban,1,Vehicle,0
21,82308,1093344,84,596,Salaried,Single,Urban,5,Vehicle,1
36,57743,1210757,120,566,Salaried,Married,Urban,3,Vehicle,0
22,134019,405312,36,817,Business,Single,Urban,2,Vehicle,0
31,131789,228908,120,838,Salaried,Single,Rural,0,Personal,0
47,123382,1261005,84,819,Self-employed,Married,Urban,2,Personal,0
30,123889,1035726,240,555,Business,Married,Semiurban,5,Vehicle,0
26,27691,1227079,84,649,Self-employed,Single,Semiurban,4,Education,1
53,162647,754840,180,624,Business,Single,Urban,4,Personal,0
40,128820,1159637,36,824,Salaried,Married,Urban,4,Education,0
28,135633,724869,180,827,Salaried,Married,Rural,5,Personal,0
55,174119,590393,84,603,Salaried,Single,Semiurban,4,Business,1
54,170664,503817,84,682,Salaried,Married,Rural,0,Home,0
29,142846,550435,120,489,Salaried,Married,Semiurban,4,Vehicle,0
48,133364,1126642,240,663,Business,Single,Semiurban,3,Vehicle,0
53,156711,347585,240,558,Salaried,Single,Semiurban,4,Education,0
47,46923,353475,84,742,Salaried,Single,Urban,2,Education,0
52,25334,399618,60,751,Salaried,Married,Rural,1,Business,0
28,161533,831169,36,472,Salaried,Married,Semiurban,2,Vehicle,0
59,52815,390502,180,775,Salaried,Married,Semiurban,1,Education,0
60,125381,912090,60,652,Salaried,Single,Rural,3,Education,0
31,24502,1299560,240,845,Self-employed,Single,Semiurban,0,Business,0
24,167486,1194197,60,834,Salaried,Single,Urban,4,Business,0
38,71950,614403,240,746,Salaried,Married,Urban,0,Vehicle,0
22,107117,1016491,60,662,Salaried,Married,Urban,0,Home,0
55,62081,698425,60,543,Salaried,Single,Urban,3,Business,1
41,65568,156982,240,479,Salaried,Single,Urban,3,Education,1
28,31599,524797,60,835,Self-employed,Single,Urban,4,Vehicle,1
41,139850,1259978,120,483,Salaried,Married,Semiurban,0,Education,0
58,44610,616562,180,783,Business,Married,Semiurban,3,Home,0
53,71335,398565,84,726,Unemployed,Single,Semiurban,3,Personal,1
50,93825,1469563,60,450,Salaried,Married,Urban,2,Vehicle,0
34,171395,1170236,84,473,Salaried,Single,Urban,3,Home,0
38,131236,542184,180,708,Unemployed,Married,Rural,2,Education,0
49,89568,615748,240,614,Salaried,Married,Rural,2,Home,0
29,18536,1376718,120,452,Unemployed,Single,Urban,5,Vehicle,1
55,39272,1461255,240,489,Salaried,Married,Semiurban,2,Vehicle,0
32,20210,361648,120,639,Unemployed,Married,Urban,5,Home,1
43,68203,288673,180,770,Salaried,Single,Urban,3,Education,0
52,176866,538485,36,550,Unemployed,Married,Urban,2,Personal,0
33,166296,1364525,180,539,Salaried,Single,Semiurban,1,Education,0
35,155122,675307,60,797,Salaried,Married,Semiurban,3,Home,0
24,102672,1007119,120,590,Salaried,Married,Urban,4,Home,0
38,128116,1216545,120,611,Salaried,Single,Urban,4,Home,0
48,37514,624254,60,534,Salaried,Single,Semiurban,0,Home,0
58,105635,625146,60,505,Salaried,Married,Rural,2,Personal,0
25,175277,1399325,120,841,Salaried,Married,Semiurban,0,Home,0
45,100124,236374,60,481,Unemployed,Married,Urban,4,Vehicle,1
24,164606,209477,84,645,Salaried,Married,Urban,4,Personal,1
45,139689,997802,180,767,Salaried,Single,Urban,2,Personal,0
27,21221,1348172,240,484,Self-employed,Single,Rural,1,Personal,1
47,144195,1402018,120,545,Salaried,Single,Urban,2,Personal,0
43,99576,1324036,180,847,Salaried,Married,Urban,2,Education,0
21,153706,1329853,240,797,Salaried,Single,Semiurban,4,Home,0
33,70526,1443340,60,485,Salaried,Married,Semiurban,3,Personal,1
58,166398,803931,180,603,Salaried,Single,Urban,0,Vehicle,0
21,76464,582919,120,769,Salaried,Married,Semiurban,2,Vehicle,0
32,19763,860882,36,487,Salaried,Single,Urban,3,Business,1
44,29509,162255,60,551,Salaried,Single,Rural,5,Business,1
56,82478,474428,60,461,Salaried,Married,Rural,0,Business,0
28,106705,540899,84,683,Salaried,Married,Semiurban,4,Personal,0
25,49062,402896,60,547,Salaried,Married,Semiurban,2,Personal,0
36,30109,1391904,180,546,Business,Married,Semiurban,2,Business,1
38,51150,1165918,180,700,Salaried,Single,Semiurban,5,Personal,1
53,119742,1452813,180,641,Salaried,Married,Urban,5,Education,0
51,147706,1093542,84,747,Salaried,Single,Urban,1,Vehicle,0
46,75303,741726,120,643,Self-employed,Married,Urban,0,Business,0
39,134524,1188045,84,567,Self-employed,Married,Semiurban,2,Vehicle,0
48,125204,870728,120,612,Salaried,Single,Urban,1,Education,0
43,39605,717648,180,712,Salaried,Single,Semiurban,1,Home,0
44,28035,1245099,60,620,Salaried,Married,Urban,5,Education,1
59,54140,1239017,84,454,Business,Married,Rural,3,Vehicle,1
21,141733,1471728,180,839,Unemployed,Married,Urban,5,Business,0
56,140876,1067628,84,493,Salaried,Single,Urban,5,Vehicle,1
49,164393,163132,84,521,Self-employed,Single,Urban,5,Home,0
43,107082,572888,120,667,Self-employed,Married,Semiurban,5,Personal,0
58,24092,1290296,36,521,Salaried,Married,Semiurban,4,Personal,1
46,117960,528248,120,482,Salaried,Single,Urban,2,Personal,0
40,42442,459501,36,795,Self-employed,Single,Rural,4,Vehicle,1
33,36216,909278,84,555,Salaried,Single,Urban,2,Personal,1
41,125704,920207,60,506,Salaried,Married,Urban,0,Vehicle,0
34,52060,531335,84,671,Business,Married,Urban,4,Education,0
53,138312,677641,60,453,Unemployed,Married,Urban,3,Personal,1
54,104216,1293759,120,685,Salaried,Single,Semiurban,2,Vehicle,0
40,120521,1385611,60,662,Salaried,Married,Urban,5,Business,0
27,121167,191571,60,530,Salaried,Married,Semiurban,0,Business,0
47,162919,354239,84,489,Business,Married,Urban,1,Education,0
23,139154,156031,36,777,Self-employed,Married,Urban,5,Vehicle,0
46,27902,122517,84,508,Self-employed,Single,Urban,5,Vehicle,1
25,39639,1250138,240,574,Self-employed,Married,Urban,2,Business,1
22,177118,310795,60,600,Salaried,Married,Urban,5,Home,0
43,64645,554395,240,467,Business,Single,Urban,0,Personal,0
27,120398,746602,120,476,Self-employed,Single,Semiurban,1,Business,0
36,70425,291651,36,665,Salaried,Single,Urban,1,Home,0
27,62009,450323,36,662,Salaried,Married,Urban,5,Business,0
55,121563,997330,36,568,Salaried,Married,Urban,0,Vehicle,0
21,120022,546206,120,562,Salaried,Married,Semiurban,2,Home,0
34,125766,732363,180,705,Unemployed,Single,Semiurban,4,Business,1
27,175251,780220,240,806,Salaried,Single,Urban,5,Education,0
51,35698,802766,36,761,Unemployed,Married,Urban,5,Business,1
21,78976,144487,180,838,Business,Married,Urban,3,Business,0
24,54059,885432,120,601,Salaried,Married,Urban,0,Business,0
49,104164,381578,84,612,Self-employed,Single,Semiurban,3,Education,0
42,107844,608032,60,726,Salaried,Single,Rural,5,Business,0
45,154700,774521,60,676,Self-employed,Single,Rural,0,Business,0
30,71535,363320,36,538,Self-employed,Single,Urban,0,Vehicle,0
40,61033,514263,60,667,Salaried,Single,Urban,4,Vehicle,0
33,89266,1109088,36,634,Salaried,Single,Urban,3,Personal,0
48,58862,1110828,36,840,Salaried,Single,Semiurban,2,Personal,0
